City,Code,Airport,URL
Ava,AOV,Ava Bill Martin Memorial Airport,https://en.wikipedia.org/wiki/Ava_Bill_Martin_Memorial_Airport
Bates City,2M1,Harry S. Truman Regional Airport,https://en.wikipedia.org/w/index.php?title=Harry_S._Truman_Regional_Airport&action=edit&redlink=1
Bethany,75K,Bethany Memorial Airport,https://en.wikipedia.org/wiki/Bethany_Memorial_Airport
Bismarck,H57,Bismarck Memorial Airport,https://en.wikipedia.org/wiki/Bismarck_Memorial_Airport
Branson/Point Lookout,PLK,M. Graham Clark Downtown Airport(was Taney County Airport),https://en.wikipedia.org/wiki/M._Graham_Clark_Downtown_Airport
Buffalo,H17,Buffalo Municipal Airport,https://en.wikipedia.org/wiki/Buffalo_Municipal_Airport_(Missouri)
Campbell,34M,Campbell Municipal Airport,https://en.wikipedia.org/w/index.php?title=Campbell_Municipal_Airport&action=edit&redlink=1
Carrollton,K26,Carrollton Memorial Airport,https://en.wikipedia.org/w/index.php?title=Carrollton_Memorial_Airport&action=edit&redlink=1
Charleston,CHQ,Mississippi County Airport,https://en.wikipedia.org/wiki/Mississippi_County_Airport
Dearborn,0C1,Triple R Airport,https://en.wikipedia.org/w/index.php?title=Triple_R_Airport&action=edit&redlink=1
Doniphan,X33,Doniphan Municipal Airport,https://en.wikipedia.org/w/index.php?title=Doniphan_Municipal_Airport&action=edit&redlink=1
El Dorado Springs,87K,El Dorado Springs Memorial Airport,https://en.wikipedia.org/w/index.php?title=El_Dorado_Springs_Memorial_Airport&action=edit&redlink=1
Excelsior Springs,3EX,Excelsior Springs Memorial Airport,https://en.wikipedia.org/w/index.php?title=Excelsior_Springs_Memorial_Airport&action=edit&redlink=1
Festus,FES,Festus Memorial Airport,https://en.wikipedia.org/wiki/Festus_Memorial_Airport
Gainesville,H27,Gainesville Memorial Airport,https://en.wikipedia.org/w/index.php?title=Gainesville_Memorial_Airport&action=edit&redlink=1
Gideon,M85,Gideon Memorial Airport,https://en.wikipedia.org/w/index.php?title=Gideon_Memorial_Airport&action=edit&redlink=1
Grain Valley,3GV,East Kansas City Airport,https://en.wikipedia.org/w/index.php?title=East_Kansas_City_Airport&action=edit&redlink=1
Hayti,M28,Mid Continent Airport(Mid-Continent Airport),https://en.wikipedia.org/w/index.php?title=Mid_Continent_Airport&action=edit&redlink=1
Hermann,63M,Hermann Municipal Airport,https://en.wikipedia.org/w/index.php?title=Hermann_Municipal_Airport&action=edit&redlink=1
Hornersville,37M,Hornersville Memorial Airport,https://en.wikipedia.org/w/index.php?title=Hornersville_Memorial_Airport&action=edit&redlink=1
Kahoka,0H7,Kahoka Municipal Airport,https://en.wikipedia.org/w/index.php?title=Kahoka_Municipal_Airport&action=edit&redlink=1
Liberty,0N0,Roosterville Airport,https://en.wikipedia.org/w/index.php?title=Roosterville_Airport&action=edit&redlink=1
Lincoln,0R2,Lincoln Municipal Airport,https://en.wikipedia.org/wiki/Lincoln_Municipal_Airport_(Missouri)
Mansfield,03B,Mansfield Municipal Airport,https://en.wikipedia.org/w/index.php?title=Mansfield_Municipal_Airport_(Missouri)&action=edit&redlink=1
Maryville,78Y,Rankin Airport,https://en.wikipedia.org/wiki/Rankin_Airport_(Missouri)
Monroe City,K52,Monroe City Airport(Capt. Ben Smith Airfield),https://en.wikipedia.org/wiki/Monroe_City_Regional_Airport
Moscow Mills,M71,Greensfield Airport,https://en.wikipedia.org/w/index.php?title=Greensfield_Airport&action=edit&redlink=1
Mount Vernon,2MO,Mount Vernon Municipal Airport,https://en.wikipedia.org/w/index.php?title=Mount_Vernon_Municipal_Airport&action=edit&redlink=1
Osage Beach,19T,Tan-Tar-A Resort Seaplane Base,https://en.wikipedia.org/wiki/Tan-Tar-A_Resort_Seaplane_Base
Richland,MO1,Richland Municipal Airport,https://en.wikipedia.org/wiki/Richland_Municipal_Airport
Rolla,K07,Rolla Downtown Airport,https://en.wikipedia.org/wiki/Rolla_Downtown_Airport
Seymour,H58,Owen Field,https://en.wikipedia.org/w/index.php?title=Owen_Field_(airport)&action=edit&redlink=1
Shelbyville,6K2,Shelby County Airport,https://en.wikipedia.org/wiki/Shelby_County_Airport_(Missouri)
Springfield,3DW,Downtown Airport,https://en.wikipedia.org/wiki/Downtown_Airport_(Missouri)
Springfield,MO2,Flying Bar H Ranch Airport,https://en.wikipedia.org/w/index.php?title=Flying_Bar_H_Ranch_Airport&action=edit&redlink=1
Steele,M12,Steele Municipal Airport,https://en.wikipedia.org/w/index.php?title=Steele_Municipal_Airport&action=edit&redlink=1
Stockton,MO3,Stockton Municipal Airport,https://en.wikipedia.org/wiki/Stockton_Municipal_Airport_(Missouri)
Stockton,2M5,Stockton Lake Seaplane Base,https://en.wikipedia.org/w/index.php?title=Stockton_Lake_Seaplane_Base&action=edit&redlink=1
Thayer,42M,Thayer Memorial Airport,https://en.wikipedia.org/w/index.php?title=Thayer_Memorial_Airport&action=edit&redlink=1
Unionville,K43,Unionville Municipal Airport(was Municipal Airport),https://en.wikipedia.org/wiki/Unionville_Municipal_Airport
Van Buren,MO5,Bollinger-Crass Memorial Airport,https://en.wikipedia.org/w/index.php?title=Bollinger-Crass_Memorial_Airport&action=edit&redlink=1
Versailles,3VS,Roy Otten Memorial Airfield,https://en.wikipedia.org/w/index.php?title=Roy_Otten_Memorial_Airfield&action=edit&redlink=1
Warsaw,75U,Harry S. Truman Dam & Reservoir Seaplane Base,https://en.wikipedia.org/w/index.php?title=Harry_S._Truman_Dam_%26_Reservoir_Seaplane_Base&action=edit&redlink=1
Willow Springs,1H5,Willow Springs Memorial Airport,https://en.wikipedia.org/w/index.php?title=Willow_Springs_Memorial_Airport&action=edit&redlink=1
Knob Noster,SZL,Whiteman Air Force Base,https://en.wikipedia.org/wiki/Whiteman_Air_Force_Base
Gravois Mills,MO30,"Harbour Airport(was public use 2005, FAA:7L7)",https://en.wikipedia.org/w/index.php?title=Harbour_Airport&action=edit&redlink=1
Lexington,MU97,Lexington Municipal Airport,https://en.wikipedia.org/wiki/Lexington_Municipal_Airport
Montgomery City,4MO1,"Wehrman Airport(was public use 2010, FAA:4MO)",https://en.wikipedia.org/wiki/Montgomery-Wehrman_Airport
Osceola,23MU,Sean D. Sheldon Memorial Airfield,https://en.wikipedia.org/wiki/Osceola_Municipal_Airport_(Missouri)
Plattsburg,51MO,Plattsburg Airpark,https://en.wikipedia.org/w/index.php?title=Plattsburg_Airpark&action=edit&redlink=1
Springfield,39MO,Gardner Airport,https://en.wikipedia.org/w/index.php?title=Gardner_Airport_(Missouri)&action=edit&redlink=1
Bonne Terre,77K,Bonne Terre Memorial Airport(closed 1998-2000)[1],https://en.wikipedia.org/w/index.php?title=Bonne_Terre_Memorial_Airport&action=edit&redlink=1
Carthage,H20,Myers Park Memorial Municipal Airport(closed 1997)[2],https://en.wikipedia.org/w/index.php?title=Myers_Park_Memorial_Municipal_Airport&action=edit&redlink=1
Columbia,CBI,Columbia Municipal Airport(closed 1970s)[3],https://en.wikipedia.org/w/index.php?title=Columbia_Municipal_Airport&action=edit&redlink=1
Columbia,K24,E.W. Cotton Woods Memorial Airport(closed 1990)[4],https://en.wikipedia.org/w/index.php?title=E.W._Cotton_Woods_Memorial_Airport&action=edit&redlink=1
Grandview,GVW,"Richards-Gebaur Airport(closed 1999, former Air Force Base)[5][6]",https://en.wikipedia.org/wiki/Richards-Gebaur_Airport
Independence,3IP,Independence Memorial Airport(closed 2003?)[7][8],https://en.wikipedia.org/w/index.php?title=Independence_Memorial_Airport&action=edit&redlink=1
Lake Winnebago,MO8,Lake Winnebago Municipal Airport(closed 1990s)[9],https://en.wikipedia.org/w/index.php?title=Lake_Winnebago_Municipal_Airport&action=edit&redlink=1
Marble Hill,0T3,Twin City Airpark,https://en.wikipedia.org/w/index.php?title=Twin_City_Airpark&action=edit&redlink=1
Ozark,2K2,Air Park South(closed 2006)[10],https://en.wikipedia.org/wiki/Air_Park_South
Princeton,7MO,Princeton-Kauffman Memorial Airport(closed 2012?)[11],https://en.wikipedia.org/wiki/Princeton-Kauffman_Memorial_Airport
St. Charles,3SQ,St. Charles Airport,https://en.wikipedia.org/wiki/St._Charles_Airport
St. Louis,02K,Arrowhead Airport(closed 1993)[12],https://en.wikipedia.org/w/index.php?title=Arrowhead_Airport&action=edit&redlink=1
St. Clair,K39,St. Clair Regional Airport(closed 2017)[13],https://en.wikipedia.org/w/index.php?title=St._Clair_Regional_Airport&action=edit&redlink=1
St. Louis,3WE,Weiss Airport(closed 1994)[14],https://en.wikipedia.org/wiki/Weiss_Airport
Slater,9K5,Slater Memorial Airport,https://en.wikipedia.org/w/index.php?title=Slater_Memorial_Airport&action=edit&redlink=1
